id,en,vi
1,friendly,thân thiện
2,careful,cẩn thận
3,talkative,lắm lời
4,proactive,Chủ động
5,easy-going,dễ dãi
6,generous,hào phóng
7,hard-working,chăm chỉ
8,shy,ngại ngùng
9,neat,gọn gàng
10,talented,tài năng
11,dynamic,năng động
12,strict,nghiêm khắc
13,creative,sáng tạo
14,stubborn,bướng bỉnh
15,hot-tempered,nóng tính
16,polite,lịch sự
17,serious,nghiêm túc
18,humorous,hài hước
19,cheerful,vui vẻ
20,bossy,hách dịch
21,selfish,ích kỷ
22,intelligent,thông minh
23,open-minded,cởi mở
24,sociable,hòa đồng
25,short,thấp
26,tall,cao
27,medium-height,cao trung bình
28,fat,mập
29,chubby,mủn mỉm
30,fit,thân hình vừa vặn
31,slim,thân hình mảnh mai
32,thin,gầy
33,skinny,rất gầy
34,good-looking,ngoại hình ưa nhìn
35,elegant,tao nhã
36,gentle,lịch lãm
37,clumsy,hậu đậu
38,fashionable,hợp thời trang
39,attractive,hấp dẫn
40,adorable,đáng yêu
41,handsome,đẹp trai
42,young,trẻ
43,old,già
44,middle aged,Trung niên
45,well-built,thân hình vạm vỡ
46,sexy,quyến rũ
47,oval face,mặt trái xoan
48,round face,khuôn mặt tròn
49,square face,khuôn mặt vuông
50,wavy hair,Tóc lượn sóng
51,curly hair,tóc xoăn
52,straight hair,tóc thẳng
53,old-fashioned,không gian cổ kính
54,reasonable,giá cả hợp lý
55,open space,không gian mở
56,crowded,đông đúc
57,soothing,không gian êm dịu
58,cozy,không gian ấm áp
59,traditional food,món ăn truyền thống
60,good service,dịch vụ tốt
61,sandwich,bánh mì sandwich
62,orange juice,nước cam
63,vegetarian,người ăn chay
64,omelet,trứng ốp la
65,smoothie,sinh tố
66,cheese,phô mai
67,salad,xa lát
68,soup,canh súp
69,spaghetti,mì Ý
70,fresh food,thức ăn sạch
71,enjoy your meal,chúc ngon miệng
72,on the diet,ăn kiêng
73,fantastic,tuyệt vời
74,street food,thức ăn đường phố
75,junk food,đồ ăn vặt
76,cash,tiền mặt
77,credit card,thẻ tín dụng
78,clothing store,cửa hàng quần áo
79,grocery store,cửa hàng tạp hóa
80,electronics store,cửa hàng điện tử
81,food court,khu ăn uống
82,movie theater,rạp chiếu phim
83,bags and accessories store,Cửa hàng túi và phụ kiện
84,frozen food,thức ăn đông lạnh
85,pet food,Thức ăn cho thú cưng
86,necklace,vòng cổ
87,bracelet,vòng đeo tay
88,sneakers,giày thể thao
89,sweater,áo len
90,skirt,váy ngắn
91,t-shirt,Áo thun
92,dress,đầm
93,high heels,giày cao gót
94,cap,mũ lưỡi trai
95,scarf,khăn quàng cổ
96,sunglasses,kính râm
97,high-priced,Giá cao
98,fridge,tủ lạnh
99,tablet,máy tính bảng
100,bakery,cửa hàng bánh mì
101,good quality,chất lượng tốt
102,rooftop,sân thượng
103,bridge,cây cầu
104,stay up late,thức khuya
105,sleep in,ngủ nướng
106,play video games,Chơi trò chơi điện tử
107,surf the internet,lướt Internet
108,do exercise,tập thể dục
109,eat healthy food,ăn đồ ăn lành mạnh
110,eat junk food,ăn vặt
111,shop online,Mua sắm trực tuyến
112,take pictures,chụp ảnh
113,smoke,hút thuốc
114,swear,chửi thề
115,skip meals,bỏ bữa
116,drink alcohol,uống rượu
117,gossip,ngồi lê đôi mách
118,bite nails,cắn móng tay
119,pick nose,ngoáy mũi
120,tell lies,nói dối
121,play sports,chơi thể thao
122,hand out with friends,ra ngoài với bạn bè
123,skip classes,bỏ học
124,read books,đọc sách
125,overspend,chi tiêu quá mức
126,be messy,bừa bộn
127,gamble,Đánh bạc
128,climb,leo trèo
129,fall down,ngã
130,awful,tồi tệ
131,angry,tức giận
132,library,thư viện
133,cafeteria,căn tin
134,meeting hall,hội trường
135,classroom,lớp học
136,sports center,Trung tâm thể thao
137,dormitory,ký túc xá
138,schedule,lịch trình
139,tuition fees,học phí
140,campus,khuôn viên đại học
141,social life,Đời sống xã hội
142,do project,làm dự án
143,attend class,tham dự lớp học
144,take part in club,tham gia câu lạc bộ
145,do a part-time job,làm việc bán thời gian
146,do survey,làm khảo sát
147,do volunteer,làm tình nguyện
148,develop the skills,Phát triển các kỹ năng
149,build your confidence,xây dựng sự tự tin của bạn
150,take experience,Có kinh nghiệm
151,reunion party,tiệc đoàn tụ
152,the best opportunity,cơ hội tốt nhất
153,long-lasting friendship,tình bạn lâu dài
